Masculine-coded words
active
adventurous
aggress
aggressive
aggression
aggressor
ambition
ambitious
ambitiousness
analyze
analyst
analytical
assert
assertive
assertion
asserted
athlete
athletic
athletics
autonomous
autonomously
battle
boast
boastful
challenge
challenged
challenging
challenger
champion
compete
competent
competence
confident
confidence
courage
courageous
courageously
decid
decision
decisive
defend
determined
determine
determining
determiner
dominate
domination
dominator
dominant
driven
fearless
fight
force
forced
forceful
forcefully
greedy
head-strong
headstrong
hierarchy
hierarchical
hostile
hostility
impulsive
independent
independently
individual
individually
intellect
intellectually
lead
leading
logic
objective
objectives
opinion
opinions
opinionated
outspoken
persist
persistent
principle
principles
principled
reckless
self-confident
self-reliant
self-sufficient
selfconfident
selfreliant
selfsufficient
stubborn
superior
unreasonable
excellent
excellence
superb
outstanding
unique
exceptional
unparalleled
best
most
wonderful
terrific
fabulous
magnificent
remarkable
extraordinary
amazing
supreme
unmatched
talent
intell
smart
skill
skilled
ability
genius
brilliant
bright
brain
aptitude
gift
capacity
propensity
innate
flair
knack
clever
expert
expertise
proficient
capable
adept
able
competent
natural
inherent
instinct
instinctive
instinctual
adroit
creative
insight
analytical
research
data
study
studies
experiment
scholarship
result
test
finding
publication
publish
vital
vitality
method
science
scientific
grant
fund
manuscript
project
journal
theory
theoretical
discover
discovering
discovery
contribute
contribution
exception
exceptionally
he
him
his
himself
man
mankind
freshman
man-made
chairman
mailman
policeman
steward
actor
congressman
husband
brother
fireman
salesmen
alumni
ombudsman
upperclassmen
lowerclassmen
strong
